id,member_id,loan_amnt,term,int_rate,annual_inc,emp_length,home_ownership,purpose,dti,fico_range_low,fico_range_high,open_acc,delinq_2yrs,revol_bal,inq_last_6mths,issue_d,loan_status
1,376405,7304.91,60,23.5,30913.92,5 years,MORTGAGE,home_improvement,14.3,703,707,4,3,11152.66,1,Apr-2021,Charged Off
2,906194,23008.75,36,18.49,73764.16,< 1 year,RENT,medical,44.0,706,710,5,2,52059.86,0,Apr-2023,Fully Paid
3,504610,9515.15,36,14.53,28532.14,10+ years,MORTGAGE,other,35.84,812,816,13,2,16033.78,5,Dec-2022,Current
4,348250,34099.74,60,11.53,43093.84,5 years,MORTGAGE,home_improvement,42.46,602,606,15,1,86106.5,0,Apr-2022,In Grace Period
5,395470,33736.14,36,12.59,37657.1,10+ years,MORTGAGE,debt_consolidation,37.26,695,699,9,0,25014.71,5,Apr-2022,Current
6,456508,18325.91,60,17.0,52782.99,5 years,OWN,medical,31.07,638,642,17,1,35362.1,1,Jul-2023,Charged Off
7,588645,38736.24,36,10.58,36745.81,5 years,RENT,home_improvement,16.38,694,698,8,1,29701.6,3,Apr-2021,Fully Paid
8,599939,39231.41,36,8.74,43394.93,5 years,RENT,major_purchase,18.08,797,801,8,2,31169.56,5,Feb-2023,In Grace Period
9,579203,6911.54,36,18.53,44079.12,5 years,RENT,credit_card,42.89,723,727,12,0,8793.27,1,Aug-2021,Charged Off
10,663280,15973.12,36,21.65,35225.5,5 years,MORTGAGE,home_improvement,39.43,817,821,9,2,12178.58,5,Apr-2021,Default
11,367367,24812.22,60,22.23,60979.45,< 1 year,RENT,medical,19.38,701,705,14,2,60508.23,2,Jul-2022,Fully Paid
12,548000,5223.84,36,21.15,54571.92,10+ years,OWN,other,19.93,787,791,18,2,9238.25,3,Dec-2023,Current
13,846489,16540.91,36,15.55,47104.5,5 years,MORTGAGE,credit_card,16.91,620,624,7,3,34924.3,2,Mar-2023,Fully Paid
14,413593,11924.54,60,20.2,40388.23,5 years,MORTGAGE,medical,18.05,656,660,10,0,7639.53,5,Apr-2023,In Grace Period
15,984227,38177.91,36,22.67,70153.77,5 years,RENT,credit_card,39.43,645,649,8,1,40545.52,4,Feb-2023,Late (31-120 days)
16,548818,17640.26,36,6.42,44084.99,5 years,MORTGAGE,medical,5.42,764,768,12,1,31897.63,2,May-2023,Default
17,438304,30981.49,36,13.42,42701.37,5 years,RENT,home_improvement,22.44,703,707,12,2,21842.79,0,Jul-2022,In Grace Period
18,730617,16694.8,60,9.67,51385.46,5 years,MORTGAGE,medical,42.71,633,637,10,2,15049.74,5,May-2021,In Grace Period
